county,office,district_num_x,dem_candidate,two_party_vtshare,county_num_x,office_x,med_two_party_vtshare,pro_gun_control,pro_choice,pro_climate,candidate_male,candidate_hispanic,candidate_female,county_num_y,urban,border,population,percent_female,percent_hispanic,veterans_per_1000,crimes_per_1000
LOVING,house,23,Pete P. Gallego,0.142857143,151,house,0.442352941,0,1,1,1,1,0,151,0,0,81,0.456790123,0.209876543,48.78,147.06
MATAGORDA,house,27,Raul (Roy) Barrera,0.305126464,158,house,0.305126464,,,,1,1,0,158,0,0,36489,0.495025898,0.417769739,65.31,34.499
MAVERICK,house,23,Pete P. Gallego,0.777952756,159,house,0.442352941,0,1,1,1,1,0,159,1,0,56956,0.50712831,0.952805675,23.07,25.225
MCLENNAN,house,17,William Matta,0.321950646,161,house,0.264256223,1,1,,1,0,0,161,0,0,251352,0.509775136,0.274634775,69.29,38.992
MCMULLEN,house,28,Henry Cuellar,0.254237288,162,house,0.753851395,0,0,1,1,1,0,162,0,0,866,0.490762125,0.407621247,63.65,54.496
MEDINA,house,23,Pete P. Gallego,0.260097514,163,house,0.442352941,0,1,1,1,1,0,163,1,0,50502,0.491188468,0.517167637,93.57,11.971
MILAM,house,17,William Matta,0.232785697,166,house,0.264256223,1,1,,1,0,0,166,0,0,24445,0.501411332,0.264880344,74.85,24.129
NACOGDOCHES,house,1,Shirley McKellar,0.422489588,174,house,0.286292097,1,1,1,0,0,1,174,0,0,65596,0.51501616,0.209220074,52.96,29.661
NAVARRO,house,6,Ruby Faye Woolridge,0.309284398,175,house,0.318387877,1,,1,0,1,1,175,0,0,49338,0.498804167,0.277189996,65.74,38.032
NEWTON,house,36,Hal J Ridley Jr. ,0.097426471,176,house,0.085919056,1,1,1,1,0,0,176,1,0,13969,0.48120839,0.030352924,80.1,7.117
NUECES,house,27,Raul (Roy) Barrera,0.496269958,178,house,0.305126464,,,,1,1,0,178,1,0,361556,0.505996305,0.639062828,81.91,50.744
ORANGE,house,36,Hal J Ridley Jr. ,0.081673099,181,house,0.085919056,1,1,1,1,0,0,181,1,0,84219,0.499091654,0.07617046,86.71,30.425
PANOLA,house,1,Shirley McKellar,0.214388317,183,house,0.286292097,1,1,1,0,0,1,183,0,0,24145,0.499109546,0.098819631,68.79,32.602
PARKER,house,12,Bill Bradshaw,0.145572282,184,house,0.167534496,,,,1,0,0,184,1,0,132602,0.501387611,0.139273917,87.27,16.462
PECOS,house,23,Pete P. Gallego,0.436151748,186,house,0.442352941,0,1,1,1,1,0,186,0,0,15908,0.438898667,0.696630626,50.49,28.708
POLK,house,36,Hal J Ridley Jr. ,0.093707693,187,house,0.085919056,1,1,1,1,0,0,187,0,0,48271,0.463073067,0.149924385,85.9,27.051
