,County,FIPS,Age,Total,Total Male,Total Female,Anglo Total,Anglo Male,Anglo Female,Black Total,Black Male,Black Female,Other Total,Other Male,Other Female,Hispanic Total,Hispanic Male,Hispanic Female
12876,LIPSCOMB COUNTY,295,All Ages,3453,1792,1661,2176,1106,1070,9,3,6,72,31,41,1196,652,544
12963,LIVE OAK COUNTY,297,All Ages,11794,6334,5460,6796,3482,3314,458,436,22,222,129,93,4318,2287,2031
13050,LLANO COUNTY,299,All Ages,19980,9664,10316,17738,8575,9163,117,69,48,380,182,198,1745,838,907
13137,LOVING COUNTY,301,All Ages,81,44,37,60,33,27,0,0,0,4,3,1,17,8,9
13224,LUBBOCK COUNTY,303,All Ages,301706,150273,151433,160893,79594,81299,21987,11005,10982,13438,6853,6585,105388,52821,52567
13311,LYNN COUNTY,305,All Ages,5997,3014,2983,2884,1412,1472,115,67,48,78,34,44,2920,1501,1419
13398,MCCULLOCH COUNTY,307,All Ages,8244,4081,4163,5325,2594,2731,119,59,60,138,70,68,2662,1358,1304
13485,MCLENNAN COUNTY,309,All Ages,251352,123219,128133,135262,66060,69202,37429,17704,19725,9631,4397,5234,69030,35058,33972
13572,MCMULLEN COUNTY,311,All Ages,866,441,425,495,249,246,10,6,4,8,2,6,353,184,169
13659,MADISON COUNTY,313,All Ages,14273,8169,6104,8140,4293,3847,2692,1765,927,376,183,193,3065,1928,1137
13746,MARION COUNTY,315,All Ages,10191,5051,5140,7149,3593,3556,2302,1084,1218,381,194,187,359,180,179
13833,MARTIN COUNTY,317,All Ages,5622,2884,2738,2923,1491,1432,70,31,39,82,51,31,2547,1311,1236
13920,MASON COUNTY,319,All Ages,4094,2015,2079,3059,1464,1595,16,8,8,39,23,16,980,520,460
14007,MATAGORDA COUNTY,321,All Ages,36489,18426,18063,16068,8067,8001,3995,1909,2086,1182,595,587,15244,7855,7389
14094,MAVERICK COUNTY,323,All Ages,56956,28072,28884,1762,975,787,69,43,26,857,445,412,54268,26609,27659
14181,MEDINA COUNTY,325,All Ages,50502,25696,24806,22529,11036,11493,918,792,126,937,493,444,26118,13375,12743
14268,MENARD COUNTY,327,All Ages,2289,1204,1085,1345,678,667,14,11,3,15,7,8,915,508,407
14355,MIDLAND COUNTY,329,All Ages,162105,80733,81372,77968,38818,39150,9999,4906,5093,5561,2770,2791,68577,34239,34338
14442,MILAM COUNTY,331,All Ages,24445,12188,12257,15105,7460,7645,2407,1176,1231,458,244,214,6475,3308,3167
14529,MILLS COUNTY,333,All Ages,5028,2509,2519,3959,1939,2020,27,14,13,79,42,37,963,514,449
14616,MITCHELL COUNTY,335,All Ages,8698,5328,3370,4208,2243,1965,918,819,99,126,68,58,3446,2198,1248
14703,MONTAGUE COUNTY,337,All Ages,19717,9799,9918,16848,8367,8481,44,31,13,426,192,234,2399,1209,1190
14790,MONTGOMERY COUNTY,339,All Ages,557340,272566,284774,364978,175567,189411,24021,11516,12505,25853,12349,13504,142488,73134,69354
14877,MOORE COUNTY,341,All Ages,22722,11849,10873,7545,3713,3832,362,232,130,2271,1329,942,12544,6575,5969
