,county,candidate,vote_share,pro_gun_control,district
142,LAVACA,David M. Alameel,0.12301013024602026,1,27
143,LEE,David M. Alameel,0.19880269393863806,1,10
144,LEON,David M. Alameel,0.10485436893203884,1,17
145,LIBERTY,David M. Alameel,0.18542989531491333,1,36
146,LIMESTONE,David M. Alameel,0.2170673076923077,1,17
147,LIPSCOMB,David M. Alameel,0.08946078431372549,1,13
148,LIVE OAK,David M. Alameel,0.13358941527955612,1,15
149,LLANO,David M. Alameel,0.15731507664831076,1,11
150,LOVING,David M. Alameel,0.08108108108108109,1,23
151,LUBBOCK,David M. Alameel,0.19954102889735534,1,19
152,LYNN,David M. Alameel,0.14348206474190725,1,19
153,MADISON,David M. Alameel,0.17290322580645162,1,8
154,MARION,David M. Alameel,0.3101983002832861,1,4
155,MARTIN,David M. Alameel,0.10373831775700934,1,11
156,MASON,David M. Alameel,0.15449654112221367,1,11
157,MATAGORDA,David M. Alameel,0.2711326175714502,1,27
158,MAVERICK,David M. Alameel,0.7304220029393239,1,23
159,MCCULLOCH,David M. Alameel,0.12469733656174334,1,11
160,MCLENNAN,David M. Alameel,0.26598730922557967,1,17
161,MCMULLEN,David M. Alameel,0.07296137339055794,1,28
162,MEDINA,David M. Alameel,0.2146569095344151,1,23
163,MENARD,David M. Alameel,0.09534368070953436,1,11
164,MIDLAND,David M. Alameel,0.11629659176527944,1,11
165,MILAM,David M. Alameel,0.23451516445963264,1,17
166,MILLS,David M. Alameel,0.08133230054221534,1,11
167,MITCHELL,David M. Alameel,0.14690265486725665,1,11
168,MONTAGUE,David M. Alameel,0.11159600997506235,1,13
169,MONTGOMERY,David M. Alameel,0.15361041562343516,1,8
170,MOORE,David M. Alameel,0.09350356740518212,1,13
171,MORRIS,David M. Alameel,0.32951482479784366,1,4
172,MOTLEY,David M. Alameel,0.0335195530726257,1,13
173,NACOGDOCHES,David M. Alameel,0.21972896867300246,1,1
174,NAVARRO,David M. Alameel,0.2156452855099571,1,6
175,NEWTON,David M. Alameel,0.24700326916091536,1,36
176,NOLAN,David M. Alameel,0.16820553994379767,1,19
177,NUECES,David M. Alameel,0.4002298980534042,1,27
178,OCHILTREE,David M. Alameel,0.034505208333333336,1,13
179,OLDHAM,David M. Alameel,0.04428044280442804,1,13
180,ORANGE,David M. Alameel,0.20386240193120098,1,36
181,PALO PINTO,David M. Alameel,0.16577638607478357,1,11
182,PANOLA,David M. Alameel,0.17603999285841815,1,1
183,PARKER,David M. Alameel,0.14014220213967704,1,12
184,PARMER,David M. Alameel,0.08877476155539252,1,19
185,PECOS,David M. Alameel,0.31526548672566373,1,23
186,POLK,David M. Alameel,0.1941513415737112,1,36
187,POTTER,David M. Alameel,0.19077087630835052,1,13
188,PRESIDIO,David M. Alameel,0.6263219741480611,1,23
189,RAINS,David M. Alameel,0.15002161694768698,1,4
190,RANDALL,David M. Alameel,0.10734883720930233,1,13
191,REAGAN,David M. Alameel,0.10805084745762712,1,23
192,REAL,David M. Alameel,0.12763819095477386,1,21
193,RED RIVER,David M. Alameel,0.23411764705882354,1,4
194,REEVES,David M. Alameel,0.46422182468694095,1,23
195,REFUGIO,David M. Alameel,0.3471557682083998,1,27
196,ROBERTS,David M. Alameel,0.03636363636363636,1,13
197,ROBERTSON,David M. Alameel,0.3417221297836938,1,17
198,ROCKWALL,David M. Alameel,0.18681968182042064,1,4
199,RUNNELS,David M. Alameel,0.09008189262966333,1,11
200,RUSK,David M. Alameel,0.17251863475872892,1,1
201,SABINE,David M. Alameel,0.1310734463276836,1,1
202,SAN AUGUSTINE,David M. Alameel,0.2907662082514735,1,1
203,SAN JACINTO,David M. Alameel,0.22318310327623483,1,8
204,SAN PATRICIO,David M. Alameel,0.32754086041705804,1,27
205,SAN SABA,David M. Alameel,0.09012256669069935,1,11
206,SCHLEICHER,David M. Alameel,0.22882427307206069,1,23
207,SCURRY,David M. Alameel,0.10112768279374318,1,19
208,SHACKELFORD,David M. Alameel,0.057692307692307696,1,19
209,SHELBY,David M. Alameel,0.18846880907372401,1,1
210,SHERMAN,David M. Alameel,0.05217391304347826,1,13
211,SMITH,David M. Alameel,0.21490062705919863,1,1
212,SOMERVELL,David M. Alameel,0.14092393840410639,1,25
213,STARR,David M. Alameel,0.7979394449116904,1,28
214,STEPHENS,David M. Alameel,0.08439490445859872,1,11
215,STERLING,David M. Alameel,0.04415011037527594,1,11
216,STONEWALL,David M. Alameel,0.20224719101123595,1,19
217,SUTTON,David M. Alameel,0.12691771269177127,1,23
218,SWISHER,David M. Alameel,0.21801665404996215,1,13
219,TARRANT,David M. Alameel,0.3758116538340644,1,12
220,TAYLOR,David M. Alameel,0.15144446438184103,1,19
221,TERRELL,David M. Alameel,0.329608938547486,1,23
222,TERRY,David M. Alameel,0.14447058823529413,1,19
223,THROCKMORTON,David M. Alameel,0.10642570281124498,1,19
224,TITUS,David M. Alameel,0.23114158935054457,1,4
225,TOM GREEN,David M. Alameel,0.16831514324693042,1,11
226,TRAVIS,David M. Alameel,0.6012302635058442,1,25
227,TRINITY,David M. Alameel,0.22321187584345478,1,8
228,TYLER,David M. Alameel,0.18226600985221675,1,36
229,UPSHUR,David M. Alameel,0.15406060606060606,1,4
230,UPTON,David M. Alameel,0.1541038525963149,1,23
231,UVALDE,David M. Alameel,0.38386763185108586,1,23
232,VAL VERDE,David M. Alameel,0.49269406392694065,1,23
