year,county,office,district,candidate,vote_share,pro_gun_control,candidate_male,candidate_hispanic
2014,LASALLE,senate,23,David M. Alameel,0.479843953,1,1,0
2014,LAVACA,senate,27,David M. Alameel,0.12301013,1,1,0
2014,LEE,senate,10,David M. Alameel,0.198802694,1,1,0
2014,LEON,senate,17,David M. Alameel,0.104854369,1,1,0
2014,LIBERTY,senate,36,David M. Alameel,0.185429895,1,1,0
2014,LIMESTONE,senate,17,David M. Alameel,0.217067308,1,1,0
2014,LIPSCOMB,senate,13,David M. Alameel,0.089460784,1,1,0
2014,LIVE OAK,senate,15,David M. Alameel,0.133589415,1,1,0
2014,LLANO,senate,11,David M. Alameel,0.157315077,1,1,0
2014,LOVING,senate,23,David M. Alameel,0.081081081,1,1,0
2014,LUBBOCK,senate,19,David M. Alameel,0.199541029,1,1,0
2014,LYNN,senate,19,David M. Alameel,0.143482065,1,1,0
2014,MADISON,senate,8,David M. Alameel,0.172903226,1,1,0
2014,MARION,senate,4,David M. Alameel,0.3101983,1,1,0
2014,MARTIN,senate,11,David M. Alameel,0.103738318,1,1,0
2014,MASON,senate,11,David M. Alameel,0.154496541,1,1,0
2014,MATAGORDA,senate,27,David M. Alameel,0.271132618,1,1,0
2014,MAVERICK,senate,23,David M. Alameel,0.730422003,1,1,0
2014,MCCULLOCH,senate,11,David M. Alameel,0.124697337,1,1,0
2014,MCLENNAN,senate,17,David M. Alameel,0.265987309,1,1,0
2014,MCMULLEN,senate,28,David M. Alameel,0.072961373,1,1,0
2014,MEDINA,senate,23,David M. Alameel,0.21465691,1,1,0
2014,MENARD,senate,11,David M. Alameel,0.095343681,1,1,0
2014,MIDLAND,senate,11,David M. Alameel,0.116296592,1,1,0
2014,MILAM,senate,17,David M. Alameel,0.234515164,1,1,0
2014,MILLS,senate,11,David M. Alameel,0.081332301,1,1,0
2014,MITCHELL,senate,11,David M. Alameel,0.146902655,1,1,0
2014,MONTAGUE,senate,13,David M. Alameel,0.11159601,1,1,0
2014,MONTGOMERY,senate,8,David M. Alameel,0.153610416,1,1,0
2014,MOORE,senate,13,David M. Alameel,0.093503567,1,1,0
2014,MORRIS,senate,4,David M. Alameel,0.329514825,1,1,0
2014,MOTLEY,senate,13,David M. Alameel,0.033519553,1,1,0
2014,NACOGDOCHES,senate,1,David M. Alameel,0.219728969,1,1,0
2014,NAVARRO,senate,6,David M. Alameel,0.215645286,1,1,0
2014,NEWTON,senate,36,David M. Alameel,0.247003269,1,1,0
2014,NOLAN,senate,19,David M. Alameel,0.16820554,1,1,0
2014,NUECES,senate,27,David M. Alameel,0.400229898,1,1,0
2014,OCHILTREE,senate,13,David M. Alameel,0.034505208,1,1,0
2014,OLDHAM,senate,13,David M. Alameel,0.044280443,1,1,0
2014,ORANGE,senate,36,David M. Alameel,0.203862402,1,1,0
2014,PALO PINTO,senate,11,David M. Alameel,0.165776386,1,1,0
2014,PANOLA,senate,1,David M. Alameel,0.176039993,1,1,0
2014,PARKER,senate,12,David M. Alameel,0.140142202,1,1,0
2014,PARMER,senate,19,David M. Alameel,0.088774762,1,1,0
2014,PECOS,senate,23,David M. Alameel,0.315265487,1,1,0
2014,POLK,senate,36,David M. Alameel,0.194151342,1,1,0
2014,POTTER,senate,13,David M. Alameel,0.190770876,1,1,0
2014,PRESIDIO,senate,23,David M. Alameel,0.626321974,1,1,0
2014,RAINS,senate,4,David M. Alameel,0.150021617,1,1,0
2014,RANDALL,senate,13,David M. Alameel,0.107348837,1,1,0
2014,REAGAN,senate,23,David M. Alameel,0.108050847,1,1,0
2014,REAL,senate,21,David M. Alameel,0.127638191,1,1,0
2014,RED RIVER,senate,4,David M. Alameel,0.234117647,1,1,0
2014,REEVES,senate,23,David M. Alameel,0.464221825,1,1,0
2014,REFUGIO,senate,27,David M. Alameel,0.347155768,1,1,0
2014,ROBERTS,senate,13,David M. Alameel,0.036363636,1,1,0
2014,ROBERTSON,senate,17,David M. Alameel,0.34172213,1,1,0
2014,ROCKWALL,senate,4,David M. Alameel,0.186819682,1,1,0
2014,RUNNELS,senate,11,David M. Alameel,0.090081893,1,1,0
2014,RUSK,senate,1,David M. Alameel,0.172518635,1,1,0
2014,SABINE,senate,1,David M. Alameel,0.131073446,1,1,0
2014,SAN AUGUSTINE,senate,1,David M. Alameel,0.290766208,1,1,0
2014,SAN JACINTO,senate,8,David M. Alameel,0.223183103,1,1,0
2014,SAN PATRICIO,senate,27,David M. Alameel,0.32754086,1,1,0
