year,county,office,district,candidate,vote_share,pro_gun_control,candidate_male,candidate_hispanic
2016,ORANGE,president,36,Hillary Clinton,0.18,1,0,0
2016,PALO PINTO,president,11,Hillary Clinton,0.17,1,0,0
2016,PANOLA,president,1,Hillary Clinton,0.18,1,0,0
2016,PARKER,president,12,Hillary Clinton,0.15,1,0,0
2016,PARMER,president,19,Hillary Clinton,0.2,1,0,0
2016,PECOS,president,23,Hillary Clinton,0.39,1,0,0
2016,POLK,president,36,Hillary Clinton,0.22,1,0,0
2016,POTTER,president,13,Hillary Clinton,0.28,1,0,0
2016,PRESIDIO,president,23,Hillary Clinton,0.69,1,0,0
2016,RAINS,president,4,Hillary Clinton,0.14,1,0,0
2016,RANDALL,president,13,Hillary Clinton,0.16,1,0,0
2016,REAGAN,president,23,Hillary Clinton,0.19,1,0,0
2016,REAL,president,21,Hillary Clinton,0.16,1,0,0
2016,RED RIVER,president,4,Hillary Clinton,0.23,1,0,0
2016,REEVES,president,23,Hillary Clinton,0.54,1,0,0
2016,REFUGIO,president,27,Hillary Clinton,0.36,1,0,0
2016,ROBERTS,president,13,Hillary Clinton,0.04,1,0,0
2016,ROBERTSON,president,17,Hillary Clinton,0.32,1,0,0
2016,ROCKWALL,president,4,Hillary Clinton,0.25,1,0,0
2016,RUNNELS,president,11,Hillary Clinton,0.12,1,0,0
2016,RUSK,president,1,Hillary Clinton,0.21,1,0,0
2016,SABINE,president,1,Hillary Clinton,0.13,1,0,0
2016,SAN AUGUSTINE,president,1,Hillary Clinton,0.26,1,0,0
2016,SAN JACINTO,president,8,Hillary Clinton,0.2,1,0,0
2016,SAN PATRICIO,president,27,Hillary Clinton,0.38,1,0,0
2016,SAN SABA,president,11,Hillary Clinton,0.13,1,0,0
2016,SCHLEICHER,president,23,Hillary Clinton,0.2,1,0,0
2016,SCURRY,president,19,Hillary Clinton,0.14,1,0,0
2016,SHACKELFORD,president,19,Hillary Clinton,0.07,1,0,0
2016,SHELBY,president,1,Hillary Clinton,0.2,1,0,0
2016,SHERMAN,president,13,Hillary Clinton,0.11,1,0,0
2016,SMITH,president,1,Hillary Clinton,0.27,1,0,0
2016,SOMERVELL,president,25,Hillary Clinton,0.14,1,0,0
2016,STARR,president,28,Hillary Clinton,0.81,1,0,0
2016,STEPHENS,president,11,Hillary Clinton,0.1,1,0,0
2016,STERLING,president,11,Hillary Clinton,0.11,1,0,0
2016,STONEWALL,president,19,Hillary Clinton,0.2,1,0,0
2016,SUTTON,president,23,Hillary Clinton,0.23,1,0,0
2016,SWISHER,president,13,Hillary Clinton,0.22,1,0,0
2016,TARRANT,president,12,Hillary Clinton,0.45,1,0,0
2016,TAYLOR,president,19,Hillary Clinton,0.23,1,0,0
2016,TERRELL,president,23,Hillary Clinton,0.33,1,0,0
2016,TERRY,president,19,Hillary Clinton,0.23,1,0,0
2016,THROCKMORTON,president,19,Hillary Clinton,0.11,1,0,0
2016,TITUS,president,4,Hillary Clinton,0.29,1,0,0
2016,TOM GREEN,president,11,Hillary Clinton,0.25,1,0,0
2016,TRAVIS,president,25,Hillary Clinton,0.71,1,0,0
2016,TRINITY,president,8,Hillary Clinton,0.2,1,0,0
2016,TYLER,president,36,Hillary Clinton,0.16,1,0,0
2016,UPSHUR,president,4,Hillary Clinton,0.15,1,0,0
2016,UPTON,president,23,Hillary Clinton,0.22,1,0,0
2016,UVALDE,president,23,Hillary Clinton,0.44,1,0,0
2016,VAL VERDE,president,23,Hillary Clinton,0.54,1,0,0
2016,VAN ZANDT,president,5,Hillary Clinton,0.13,1,0,0
2016,VICTORIA,president,27,Hillary Clinton,0.29,1,0,0
2016,WALKER,president,8,Hillary Clinton,0.32,1,0,0
2016,WALLER,president,10,Hillary Clinton,0.35,1,0,0
2016,WARD,president,23,Hillary Clinton,0.24,1,0,0
2016,WASHINGTON,president,10,Hillary Clinton,0.24,1,0,0
2016,WEBB,president,28,Hillary Clinton,0.77,1,0,0
2016,WHARTON,president,27,Hillary Clinton,0.29,1,0,0
2016,WHEELER,president,13,Hillary Clinton,0.09,1,0,0
2016,WICHITA,president,13,Hillary Clinton,0.24,1,0,0
2016,WILBARGER,president,13,Hillary Clinton,0.2,1,0,0
2016,WILLACY,president,34,Hillary Clinton,0.69,1,0,0
2016,WILLIAMSON,president,31,Hillary Clinton,0.45,1,0,0
2016,WILSON,president,28,Hillary Clinton,0.25,1,0,0
2016,WINKLER,president,23,Hillary Clinton,0.23,1,0,0
2016,WISE,president,13,Hillary Clinton,0.14,1,0,0
2016,WOOD,president,5,Hillary Clinton,0.14,1,0,0
2016,YOAKUM,president,19,Hillary Clinton,0.19,1,0,0
2016,YOUNG,president,19,Hillary Clinton,0.12,1,0,0
2016,ZAPATA,president,28,Hillary Clinton,0.67,1,0,0
2016,ZAVALA,president,23,Hillary Clinton,0.79,1,0,0
